order_id,order_date,warehouse,region,product_category,delivery_status,eta_days,actual_days,cost_lkr
ORD-101487,2024-01-01,Kandy-Hub,Central,Meat & Seafood,Cancelled,1,,14879.52
ORD-100497,2024-05-16,Galle-South,Southern,Dairy,Delivered,3,3.0,5968.61
ORD-104102,2024-03-10,Galle-South,Southern,Produce,Delivered,4,4.0,3986.92
ORD-101144,2024-04-30,Colombo-Central,Western,Beverages,Delivered,4,4.0,3687.44
ORD-103734,2024-04-27,Jaffna-North,Northern,Beverages,Delayed,1,5.0,2345.08
ORD-104237,2024-02-09,Galle-South,Southern,Produce,Delayed,3,7.0,2524.2
ORD-103243,2024-07-08,Jaffna-North,Northern,Produce,Delayed,2,6.0,2968.28
ORD-101235,2024-05-06,Jaffna-North,Northern,Meat & Seafood,Delivered,5,5.0,17875.93
ORD-104568,2024-04-22,Kandy-Hub,Central,Dairy,Delivered,3,3.0,3674.32
ORD-104267,2024-12-04,Kandy-Hub,Central,Frozen,Delayed,5,9.0,7200.94
ORD-100624,2024-08-08,Kandy-Hub,Central,Meat & Seafood,In Transit,3,,9221.02
ORD-101629,2024-02-16,Kandy-Hub,Central,Dry Goods,Delivered,1,1.0,1743.75
ORD-100199,2024-12-17,Kurunegala-West,North-Western,Meat & Seafood,Delivered,2,2.0,13538.22
ORD-103613,2024-01-28,Galle-South,Southern,Dry Goods,Delivered,2,2.0,3025.65
ORD-101988,2024-03-17,Kandy-Hub,Central,Meat & Seafood,Cancelled,2,,15230.56
ORD-102344,2024-08-02,Jaffna-North,Northern,Dry Goods,Delivered,3,3.0,1679.59
ORD-103263,2024-11-10,Jaffna-North,Northern,Dairy,Delayed,5,8.0,3528.78
ORD-101905,2024-03-30,Colombo-Central,Western,Frozen,Delivered,2,2.0,6217.72
ORD-100765,2024-10-11,Galle-South,Southern,Beverages,Cancelled,2,,2762.6
ORD-100803,2024-12-01,Kurunegala-West,North-Western,Produce,Delivered,4,4.0,1617.79
ORD-101501,2024-04-05,Kurunegala-West,North-Western,Dairy,Delivered,4,4.0,2633.66
ORD-101770,2024-05-03,Galle-South,Southern,Frozen,Delivered,2,2.0,11115.37
ORD-100106,2024-10-11,Jaffna-North,Northern,Beverages,Delayed,3,7.0,2414.05
ORD-102964,2024-09-24,Colombo-Central,Western,Meat & Seafood,Delivered,1,1.0,16803.49
ORD-100838,2024-01-06,Kandy-Hub,Central,Dairy,Delivered,3,3.0,4737.54
ORD-103971,2024-12-04,Kandy-Hub,Central,Dry Goods,Delivered,4,4.0,1094.18
ORD-100705,2024-07-25,Kurunegala-West,North-Western,Dry Goods,Delivered,1,1.0,2338.74
ORD-104150,2024-04-30,Kurunegala-West,North-Western,Frozen,Delivered,1,1.0,6862.73
ORD-103179,2024-03-02,Colombo-Central,Western,Dry Goods,Delivered,1,1.0,2886.57
ORD-104776,2024-05-02,Kurunegala-West,North-Western,Frozen,In Transit,3,,5870.3
ORD-100228,2024-07-18,Colombo-Central,Western,Dairy,Delivered,5,5.0,3260.09
ORD-103336,2024-07-09,Kandy-Hub,Central,Dairy,Delivered,2,2.0,4253.84
ORD-102268,2024-02-13,Galle-South,Southern,Produce,Delivered,3,3.0,2581.3
ORD-103852,2024-02-08,Galle-South,Southern,Frozen,Delivered,4,4.0,8981.33
ORD-100501,2024-08-25,Kandy-Hub,Central,Frozen,In Transit,5,,7991.17
ORD-103128,2024-07-03,Kandy-Hub,Central,Dry Goods,In Transit,3,,2003.19
ORD-103352,2024-02-08,Kandy-Hub,Central,Frozen,Delivered,5,5.0,11245.35
ORD-104174,2024-05-26,Galle-South,Southern,Produce,Delivered,1,1.0,2019.25
ORD-101634,2024-05-31,Kurunegala-West,North-Western,Frozen,Delivered,5,5.0,10817.6
ORD-101480,2024-02-25,Jaffna-North,Northern,Produce,Delivered,4,4.0,3510.65
ORD-102115,2024-03-14,Kurunegala-West,North-Western,Dry Goods,Delivered,5,5.0,1654.45
ORD-103999,2024-07-08,Jaffna-North,Northern,Beverages,Delivered,5,5.0,4731.27
ORD-100561,2024-01-16,Colombo-Central,Western,Meat & Seafood,Delivered,1,1.0,15740.73
ORD-104198,2024-12-13,Colombo-Central,Western,Beverages,Delayed,3,6.0,2209.46
ORD-103697,2024-05-30,Galle-South,Southern,Produce,Delivered,5,5.0,3333.35
ORD-101744,2024-03-17,Kurunegala-West,North-Western,Dry Goods,Delivered,4,4.0,1725.42
ORD-100279,2024-01-31,Colombo-Central,Western,Meat & Seafood,Delayed,3,7.0,17278.24
ORD-102266,2024-09-06,Jaffna-North,Northern,Produce,Delivered,5,5.0,2780.86
ORD-100157,2024-07-22,Colombo-Central,Western,Frozen,Delayed,2,3.0,5244.66
ORD-100538,2024-07-16,Kurunegala-West,North-Western,Dairy,Delivered,2,2.0,3035.88
ORD-104114,2024-04-16,Galle-South,Southern,Meat & Seafood,In Transit,3,,19576.27
ORD-104457,2024-01-15,Jaffna-North,Northern,Produce,Delivered,5,5.0,2690.42
ORD-101650,2024-03-10,Kandy-Hub,Central,Frozen,Delivered,1,1.0,10221.35
ORD-103150,2024-09-17,Kurunegala-West,North-Western,Produce,Delayed,1,5.0,3914.97
ORD-100764,2024-05-11,Kandy-Hub,Central,Meat & Seafood,Delivered,2,2.0,16630.21
ORD-101864,2024-10-31,Kurunegala-West,North-Western,Meat & Seafood,Delayed,5,8.0,17836.07
ORD-103485,2024-01-10,Galle-South,Southern,Dairy,Delivered,5,5.0,2943.71
ORD-100731,2024-06-01,Colombo-Central,Western,Meat & Seafood,Delivered,5,5.0,14367.2
ORD-100084,2024-08-17,Galle-South,Southern,Produce,Delivered,1,1.0,3547.6
ORD-102580,2024-05-20,Colombo-Central,Western,Dry Goods,Delivered,5,5.0,2266.76
ORD-103207,2024-10-24,Kandy-Hub,Central,Dairy,Delivered,5,5.0,2646.31
ORD-102974,2024-01-07,Colombo-Central,Western,Dairy,Delivered,1,1.0,3615.7
ORD-102696,2024-02-16,Galle-South,Southern,Dry Goods,Delivered,2,2.0,2098.21
ORD-101338,2024-10-09,Kurunegala-West,North-Western,Beverages,Delivered,4,4.0,4201.61
ORD-103902,2024-07-04,Galle-South,Southern,Beverages,Delivered,1,1.0,4636.0
ORD-100911,2024-03-07,Kandy-Hub,Central,Dry Goods,Delivered,2,2.0,1712.63
ORD-100029,2024-06-10,Kandy-Hub,Central,Produce,Delivered,3,3.0,1865.27
ORD-100677,2024-01-31,Kandy-Hub,Central,Beverages,Delivered,3,3.0,4589.88
ORD-104501,2024-07-13,Colombo-Central,Western,Dry Goods,Delivered,1,1.0,1758.81
ORD-103685,2024-02-26,Galle-South,Southern,Beverages,Delivered,3,3.0,4447.42
ORD-103741,2024-04-20,Kandy-Hub,Central,Beverages,Delivered,4,4.0,2734.35
ORD-101620,2024-04-06,Colombo-Central,Western,Beverages,Delivered,4,4.0,4082.32
ORD-100422,2024-10-06,Colombo-Central,Western,Meat & Seafood,Delayed,3,7.0,13146.81
ORD-101665,2024-05-24,Colombo-Central,Western,Produce,Delivered,3,3.0,3986.78
ORD-104989,2024-11-18,Galle-South,Southern,Meat & Seafood,Delivered,4,4.0,12857.5
ORD-102727,2024-01-15,Kandy-Hub,Central,Dairy,Delivered,3,3.0,4067.38
ORD-103193,2024-03-11,Galle-South,Southern,Produce,Delivered,4,4.0,3199.07
ORD-103968,2024-08-03,Kandy-Hub,Central,Meat & Seafood,Delayed,2,5.0,17757.43
ORD-100168,2024-05-02,Kandy-Hub,Central,Meat & Seafood,Delivered,3,3.0,16974.46
ORD-103834,2024-02-21,Kurunegala-West,North-Western,Dairy,Delivered,2,2.0,4330.23
ORD-103481,2024-03-30,Jaffna-North,Northern,Dry Goods,Delivered,1,1.0,1350.22
ORD-103469,2024-11-12,Colombo-Central,Western,Dairy,Delivered,1,1.0,2850.92
ORD-100227,2024-07-30,Jaffna-North,Northern,Meat & Seafood,Delivered,4,4.0,14243.58
ORD-102654,2024-11-06,Colombo-Central,Western,Beverages,Delivered,4,4.0,3488.13
ORD-100486,2024-05-01,Kandy-Hub,Central,Meat & Seafood,In Transit,4,,13748.55
ORD-101694,2024-02-28,Colombo-Central,Western,Meat & Seafood,Delivered,2,2.0,12900.68
ORD-101200,2024-11-16,Kurunegala-West,North-Western,Meat & Seafood,Delivered,5,5.0,17354.63
ORD-102685,2024-06-24,Jaffna-North,Northern,Meat & Seafood,Delivered,4,4.0,16723.02
ORD-103172,2024-06-06,Kandy-Hub,Central,Dry Goods,Delivered,4,4.0,1404.21
ORD-100023,2024-12-04,Galle-South,Southern,Dry Goods,Delivered,2,2.0,2717.54
ORD-103084,2024-05-03,Jaffna-North,Northern,Dairy,Delivered,4,4.0,5234.67
ORD-103130,2024-05-10,Colombo-Central,Western,Meat & Seafood,Delivered,2,2.0,
ORD-102536,2024-04-29,Kandy-Hub,Central,Frozen,In Transit,5,,8513.14
ORD-102897,2024-08-16,Kurunegala-West,North-Western,Beverages,Delivered,5,5.0,4514.18
ORD-104840,2024-10-05,Kurunegala-West,North-Western,Dairy,Delivered,5,5.0,2638.52
ORD-102093,2024-03-13,Galle-South,Southern,Frozen,Delivered,5,5.0,9332.07
ORD-100239,2024-08-16,Kurunegala-West,North-Western,Dry Goods,Delivered,5,5.0,1762.08
ORD-103571,2024-11-03,Colombo-Central,Western,Dry Goods,Delivered,1,1.0,1987.36
ORD-103765,2024-05-29,Kandy-Hub,Central,Frozen,Delivered,4,4.0,11151.09
ORD-102016,2024-05-31,Jaffna-North,Northern,Frozen,In Transit,3,,5030.31
ORD-104038,2024-04-21,Kurunegala-West,North-Western,Dairy,Delayed,2,5.0,3679.03
ORD-100297,2024-06-09,Jaffna-North,Northern,Meat & Seafood,In Transit,1,,8185.34
ORD-100248,2024-10-14,Kurunegala-West,North-Western,Beverages,Delivered,2,2.0,4558.85
ORD-102135,2024-09-07,Galle-South,Southern,Produce,Delivered,1,1.0,2168.54
ORD-100373,2024-05-16,Kandy-Hub,Central,Dairy,Delivered,4,4.0,4385.76
ORD-100881,2024-11-06,Kurunegala-West,North-Western,Dairy,Delivered,4,4.0,5608.69
ORD-102307,2024-02-26,Kandy-Hub,Central,Produce,Delivered,2,2.0,2112.61
ORD-103887,2024-03-05,Kurunegala-West,North-Western,Dry Goods,Delayed,1,2.0,2095.58
ORD-104503,2024-10-08,Galle-South,Southern,Dry Goods,Cancelled,2,,2218.75
ORD-102991,2024-08-20,Colombo-Central,Western,Dairy,Delivered,2,2.0,3286.09
ORD-100724,2024-10-13,Kandy-Hub,Central,Meat & Seafood,Delivered,5,5.0,15334.74
ORD-102220,2024-12-11,Kandy-Hub,Central,Dry Goods,Delayed,5,6.0,2361.69
ORD-102217,2024-12-30,Colombo-Central,Western,Frozen,Delivered,2,2.0,11616.45
ORD-101468,2024-10-10,Galle-South,Southern,Beverages,In Transit,2,,2560.64
ORD-101592,2024-05-19,Kandy-Hub,Central,Dry Goods,Delivered,4,4.0,3230.57
ORD-103951,2024-03-21,Jaffna-North,Northern,Dairy,Cancelled,4,,4755.74
ORD-102445,2024-11-22,Kurunegala-West,North-Western,Dry Goods,Delivered,4,4.0,3240.11
ORD-103091,2024-05-23,Kandy-Hub,Central,Meat & Seafood,Delayed,2,5.0,17164.66
ORD-100927,2024-04-19,Galle-South,Southern,Beverages,Delivered,4,4.0,3640.07
ORD-104579,2024-04-16,Jaffna-North,Northern,Produce,Delivered,3,3.0,3669.79
ORD-104652,2024-04-30,Kurunegala-West,North-Western,Dairy,Delayed,5,7.0,5126.46
ORD-100599,2024-08-22,Jaffna-North,Northern,Dairy,In Transit,4,,5929.36
ORD-101392,2024-12-25,Kandy-Hub,Central,Produce,Delayed,5,7.0,3956.52
ORD-102227,2024-12-06,Kurunegala-West,North-Western,Meat & Seafood,Delivered,4,4.0,9521.11
ORD-104176,2024-04-20,Colombo-Central,Western,Dairy,Delivered,2,2.0,2550.07
ORD-101609,2024-02-15,Jaffna-North,Northern,Dry Goods,Delivered,4,4.0,2807.39
ORD-104290,2024-01-25,Galle-South,Southern,Dry Goods,Delayed,2,6.0,1320.78
ORD-102876,2024-08-30,Galle-South,Southern,Meat & Seafood,Delivered,3,3.0,13891.17
ORD-103288,2024-03-04,Galle-South,Southern,Beverages,Delivered,3,3.0,4097.22
ORD-102142,2024-12-17,Kurunegala-West,North-Western,Dairy,In Transit,1,,4675.52
ORD-100471,2024-10-20,Galle-South,Southern,Dry Goods,Delivered,5,5.0,1650.01
ORD-101244,2024-11-15,Kurunegala-West,North-Western,Dry Goods,Delivered,1,1.0,1016.76
ORD-103690,2024-05-26,Kandy-Hub,Central,Beverages,Delivered,5,5.0,3730.68
ORD-104221,2024-07-08,Kurunegala-West,North-Western,Meat & Seafood,Delivered,1,1.0,19806.6
ORD-101073,2024-07-10,Jaffna-North,Northern,Produce,Delivered,5,5.0,2690.51
ORD-101044,2024-09-15,Galle-South,Southern,Produce,Delivered,5,5.0,3278.57
ORD-101714,2024-08-23,Kurunegala-West,North-Western,Dry Goods,Delivered,2,2.0,3172.47
ORD-104040,2024-04-29,Jaffna-North,Northern,Dry Goods,Delayed,5,7.0,3165.5
ORD-104778,2024-02-08,Jaffna-North,Northern,Frozen,Delivered,3,3.0,7296.24
ORD-101034,2024-01-25,Kandy-Hub,Central,Frozen,Delayed,3,4.0,8705.9
ORD-104417,2024-02-27,Colombo-Central,Western,Produce,Delivered,3,3.0,1959.64
ORD-101752,2024-08-17,Jaffna-North,Northern,Dry Goods,Delayed,5,6.0,3361.73
ORD-103649,2024-09-26,Kandy-Hub,Central,Dry Goods,Delivered,3,3.0,3078.81
ORD-104808,2024-05-22,Colombo-Central,Western,Produce,Delivered,5,5.0,3206.3
ORD-101554,2024-06-16,Galle-South,Southern,Beverages,Delayed,5,8.0,4147.08
ORD-104195,2024-06-29,Colombo-Central,Western,Frozen,Delayed,2,3.0,
ORD-102986,2024-09-29,Kurunegala-West,North-Western,Dry Goods,Delivered,5,5.0,3474.21
ORD-102721,2024-08-31,Galle-South,Southern,Frozen,Delayed,3,5.0,9553.61
ORD-100829,2024-01-11,Galle-South,Southern,Beverages,Delivered,1,1.0,2000.18
ORD-101095,2024-01-30,Jaffna-North,Northern,Dry Goods,Delayed,4,7.0,2957.86
ORD-100426,2024-11-11,Kurunegala-West,North-Western,Beverages,Delivered,3,3.0,4888.85
ORD-102145,2024-06-11,Kandy-Hub,Central,Dairy,Delivered,5,5.0,3911.64
ORD-103135,2024-01-06,Jaffna-North,Northern,Dry Goods,Delivered,4,4.0,2899.71
ORD-104160,2024-05-27,Jaffna-North,Northern,Beverages,Delayed,5,7.0,2120.8
ORD-104064,2024-10-03,Jaffna-North,Northern,Produce,Delivered,4,4.0,1827.02
ORD-104342,2024-06-19,Galle-South,Southern,Produce,Delivered,4,4.0,2294.76
ORD-104951,2024-01-19,Galle-South,Southern,Dry Goods,Delayed,4,6.0,1561.53
ORD-103580,2024-11-17,Colombo-Central,Western,Frozen,Delivered,3,3.0,6062.69
ORD-104230,2024-01-27,Galle-South,Southern,Dry Goods,In Transit,2,,1380.64
ORD-102662,2024-02-24,Galle-South,Southern,Dairy,Delivered,5,5.0,4478.74
ORD-102705,2024-04-13,Kandy-Hub,Central,Beverages,Delivered,2,2.0,2565.38
ORD-101323,2024-11-19,Kurunegala-West,North-Western,Dairy,Delayed,2,5.0,4790.67
ORD-104129,2024-06-03,Colombo-Central,Western,Frozen,Delivered,4,4.0,9570.98
ORD-103984,2024-11-09,Kandy-Hub,Central,Beverages,Delivered,3,3.0,2324.27
ORD-104825,2024-06-01,Kandy-Hub,Central,Dairy,Delivered,4,4.0,5253.13
ORD-104459,2024-08-26,Galle-South,Southern,Meat & Seafood,Delivered,3,3.0,11885.88
ORD-102883,2024-01-18,Colombo-Central,Western,Meat & Seafood,Delayed,2,4.0,13522.19
ORD-102117,2024-07-16,Jaffna-North,Northern,Beverages,Delivered,5,5.0,4740.08
ORD-100653,2024-10-20,Galle-South,Southern,Dry Goods,In Transit,5,,1756.81
ORD-104436,2024-08-27,Colombo-Central,Western,Meat & Seafood,In Transit,5,,11433.8
ORD-101018,2024-01-16,Jaffna-North,Northern,Dairy,Delivered,4,4.0,
ORD-100088,2024-10-07,Colombo-Central,Western,Frozen,Delivered,2,2.0,5894.83
ORD-101129,2024-08-24,Kandy-Hub,Central,Meat & Seafood,In Transit,2,,9383.73
ORD-103773,2024-02-16,Kandy-Hub,Central,Frozen,Delivered,3,3.0,9465.62
ORD-100008,2024-03-14,Jaffna-North,Northern,Meat & Seafood,Delivered,1,1.0,15384.85
ORD-101886,2024-08-25,Kurunegala-West,North-Western,Frozen,In Transit,1,,5025.55
ORD-101662,2024-03-08,Galle-South,Southern,Meat & Seafood,Delivered,5,5.0,9692.93
ORD-103910,2024-03-25,Kandy-Hub,Central,Dairy,Delivered,3,3.0,2630.97
ORD-100681,2024-02-20,Jaffna-North,Northern,Frozen,Delayed,3,6.0,6340.83
ORD-103773,2024-02-16,Kandy-Hub,Central,Frozen,Delivered,3,3.0,9465.62
ORD-103658,2024-05-02,Kandy-Hub,Central,Dairy,Delivered,5,5.0,4564.12
ORD-100144,2024-12-28,Jaffna-North,Northern,Produce,Delivered,5,5.0,3085.96
ORD-100994,2024-07-12,Colombo-Central,Western,Produce,Delivered,2,2.0,3115.41
ORD-103652,2024-05-29,Kandy-Hub,Central,Beverages,Delivered,1,1.0,4502.57
ORD-101741,2024-09-28,Kurunegala-West,North-Western,Dry Goods,Delivered,1,1.0,1675.07
ORD-103340,2024-07-16,Kurunegala-West,North-Western,Dairy,Delayed,2,3.0,5784.87
ORD-103835,2024-09-21,Colombo-Central,Western,Dry Goods,Delivered,4,4.0,3273.8
ORD-102741,2024-02-05,Kandy-Hub,Central,Meat & Seafood,Delivered,2,2.0,11818.0
ORD-100151,2024-04-12,Jaffna-North,Northern,Produce,Delivered,3,3.0,3860.11
ORD-101670,2024-10-05,Colombo-Central,Western,Produce,Delivered,3,3.0,2775.05
ORD-103917,2024-11-06,Colombo-Central,Western,Frozen,Delivered,3,3.0,8838.74
ORD-101831,2024-12-13,Kandy-Hub,Central,Dry Goods,Delivered,2,2.0,2979.54
ORD-100240,2024-02-21,Kandy-Hub,Central,Beverages,Delivered,4,4.0,5117.67
ORD-100848,2024-10-26,Jaffna-North,Northern,Meat & Seafood,Delivered,4,4.0,10907.43
ORD-102172,2024-12-29,Kurunegala-West,North-Western,Dry Goods,In Transit,3,,1906.73
ORD-101881,2024-04-06,Kandy-Hub,Central,Beverages,Delivered,4,4.0,3114.76
ORD-100856,2024-03-30,Galle-South,Southern,Dry Goods,Delivered,5,5.0,3099.47
ORD-103355,2024-06-10,Kurunegala-West,North-Western,Meat & Seafood,Delivered,5,5.0,8058.02
ORD-101413,2024-10-16,Colombo-Central,Western,Meat & Seafood,Delivered,2,2.0,15083.47
ORD-100964,2024-12-12,Jaffna-North,Northern,Frozen,Delivered,2,2.0,9351.25
ORD-101417,2024-06-09,Colombo-Central,Western,Dairy,Delivered,3,3.0,4026.27
ORD-102749,2024-12-21,Kurunegala-West,North-Western,Produce,In Transit,3,,2842.81
ORD-100457,2024-08-19,Kandy-Hub,Central,Produce,Delivered,3,3.0,3693.17
ORD-101103,2024-02-24,Colombo-Central,Western,Dairy,Cancelled,5,,3263.52
ORD-101436,2024-06-04,Kurunegala-West,North-Western,Dairy,Delivered,2,2.0,5562.95
ORD-104759,2024-09-10,Kandy-Hub,Central,Frozen,Delayed,4,5.0,8480.03
ORD-104084,2024-07-02,Galle-South,Southern,Frozen,In Transit,5,,5721.86
ORD-101590,2024-09-25,Colombo-Central,Western,Dairy,Delivered,5,5.0,5162.79
ORD-103386,2024-10-09,Jaffna-North,Northern,Meat & Seafood,Delivered,3,3.0,10536.32
ORD-100465,2024-12-18,Galle-South,Southern,Frozen,Delayed,2,6.0,7304.31
ORD-102673,2024-03-09,Jaffna-North,Northern,Frozen,Delivered,5,5.0,5135.45
ORD-103257,2024-03-12,Jaffna-North,Northern,Produce,Delivered,5,5.0,3522.98
ORD-104293,2024-02-04,Kurunegala-West,North-Western,Frozen,Delivered,2,2.0,6535.04
ORD-101786,2024-03-13,Jaffna-North,Northern,Dry Goods,In Transit,5,,1291.76
ORD-101718,2024-05-30,Colombo-Central,Western,Meat & Seafood,Delayed,3,6.0,18321.57
ORD-100100,2024-10-30,Galle-South,Southern,Beverages,Cancelled,2,,2339.43
ORD-104028,2024-09-08,Galle-South,Southern,Beverages,Delayed,5,6.0,4192.75
ORD-101705,2024-11-09,Colombo-Central,Western,Dairy,Delayed,4,5.0,3812.89
ORD-103319,2024-01-13,Kandy-Hub,Central,Frozen,Delivered,5,5.0,7928.59
ORD-101049,2024-02-13,Kandy-Hub,Central,Produce,Delivered,1,1.0,1553.37
ORD-101406,2024-05-06,Jaffna-North,Northern,Meat & Seafood,Delivered,4,4.0,12120.23
ORD-103625,2024-09-28,Kandy-Hub,Central,Frozen,Delivered,5,5.0,10393.4
ORD-104192,2024-09-27,Kurunegala-West,North-Western,Dry Goods,Delivered,4,4.0,3142.49
ORD-101253,2024-10-16,Galle-South,Southern,Beverages,Delayed,4,6.0,2463.39
ORD-104738,2024-05-07,Kurunegala-West,North-Western,Meat & Seafood,Cancelled,2,,12999.7
ORD-102420,2024-04-04,Jaffna-North,Northern,Dry Goods,Delivered,4,4.0,2448.75
ORD-104273,2024-04-24,Kandy-Hub,Central,Dairy,Delivered,4,4.0,5679.81
ORD-102847,2024-05-21,Kurunegala-West,North-Western,Beverages,Delivered,5,5.0,3262.03
ORD-101056,2024-06-13,Colombo-Central,Western,Dairy,Delivered,2,2.0,4111.07
ORD-102072,2024-05-26,Jaffna-North,Northern,Frozen,Delivered,1,1.0,11638.21
ORD-101726,2024-12-12,Kurunegala-West,North-Western,Beverages,Cancelled,3,,5057.83
ORD-104252,2024-12-23,Kandy-Hub,Central,Meat & Seafood,Delivered,4,4.0,13649.52
ORD-103361,2024-09-28,Jaffna-North,Northern,Dry Goods,Delayed,3,4.0,1071.48
ORD-101295,2024-07-06,Jaffna-North,Northern,Dairy,Delivered,1,1.0,5719.92
ORD-103592,2024-12-25,Kandy-Hub,Central,Dry Goods,Delivered,3,3.0,1208.96
ORD-103488,2024-06-10,Galle-South,Southern,Meat & Seafood,Delivered,4,4.0,9287.24
ORD-101292,2024-06-10,Colombo-Central,Western,Beverages,Delivered,3,3.0,2391.94
ORD-100589,2024-11-03,Kurunegala-West,North-Western,Beverages,Delivered,1,1.0,4156.04
ORD-104116,2024-01-07,Kandy-Hub,Central,Meat & Seafood,Delivered,3,3.0,8718.69
ORD-102837,2024-11-24,Jaffna-North,Northern,Meat & Seafood,In Transit,2,,9968.17
ORD-104610,2024-02-03,Kurunegala-West,North-Western,Beverages,Delivered,2,2.0,3875.05
ORD-100931,2024-09-12,Galle-South,Southern,Beverages,Delivered,4,4.0,4660.52
ORD-101170,2024-08-17,Galle-South,Southern,Frozen,Delivered,1,1.0,6606.02
ORD-103167,2024-04-07,Kandy-Hub,Central,Produce,Delivered,2,2.0,3525.64
ORD-101699,2024-12-16,Kandy-Hub,Central,Beverages,Delivered,4,4.0,2746.06
ORD-102619,2024-12-11,Jaffna-North,Northern,Beverages,Delivered,5,5.0,3101.93
ORD-100683,2024-12-15,Galle-South,Southern,Dairy,Delivered,3,3.0,3794.71
ORD-100230,2024-06-18,Colombo-Central,Western,Dairy,Delivered,5,5.0,3021.41
ORD-104605,2024-06-21,Colombo-Central,Western,Meat & Seafood,Delivered,2,2.0,13256.61
ORD-103408,2024-08-28,Colombo-Central,Western,Frozen,Delayed,1,3.0,11866.07
ORD-104322,2024-06-17,Kurunegala-West,North-Western,Frozen,Delayed,2,4.0,9457.27
ORD-104046,2024-06-14,Kurunegala-West,North-Western,Meat & Seafood,Delivered,3,3.0,17600.85
ORD-102407,2024-09-16,Jaffna-North,Northern,Produce,Delayed,3,6.0,1958.58
ORD-102337,2024-10-26,Kandy-Hub,Central,Frozen,Delivered,4,4.0,8939.46
ORD-104051,2024-05-23,Galle-South,Southern,Dry Goods,In Transit,4,,3269.08
ORD-100296,2024-11-06,Colombo-Central,Western,Dry Goods,Delivered,1,1.0,3025.49
ORD-104749,2024-05-13,Galle-South,Southern,Dry Goods,Delivered,3,3.0,1251.9
ORD-103780,2024-01-21,Galle-South,Southern,Produce,Delivered,4,4.0,2829.78
ORD-101173,2024-03-05,Kandy-Hub,Central,Dry Goods,Delivered,2,2.0,3423.57
ORD-103127,2024-11-27,Galle-South,Southern,Meat & Seafood,Delivered,2,2.0,11795.68
ORD-103035,2024-12-14,Galle-South,Southern,Dry Goods,Delivered,2,2.0,2250.01
ORD-100742,2024-08-19,Kurunegala-West,North-Western,Frozen,Cancelled,1,,5204.75
ORD-103940,2024-07-17,Colombo-Central,Western,Beverages,Delivered,2,2.0,2865.57
